http://172.27.27.83,KS Network
http://www.zerodollarmovies.com,Zero Dollar Movies
http://180.211.219.245,Anabil Adda
http://www.tetrasoftbd.com,Tetrasoft BD
http://172.27.27.251,Matchnet
http://172.27.27.252,Classic Network
http://172.28.28.10,Broadband@Home
http://172.28.28.6,Shihab IT
http://www.brothersitbd.com,Brothers IT
http://www.bijoy.net,Bijoy.Net Software
http://103.229.80.90,Film-Jogot
http://45.113.238.130,ATS-Media-Server
http://www.ihub.live,I-HUB
http://www.freedownloadbd.com,Free-Download-BD
http://220.158.235.243,Anabil-Adda
http://www.genvideos.org,Gen-Videos
http://220.158.235.244,My-Tube
http://tube.dfnbd.net,DFN-BD-Tube
http://www.vdobite.com,VDO-BITE
http://www.vdomela.com,Video-Mela
http://www.broadbandathome.com,Broadband@Home
http://172.28.28.10,PC-Software
http://www.ftpbd.net,FTP-BD 
http://172.16.50.4,Sam Online
http://172.16.50.2,Sam Online Live  
http://15.1.1.1,Circle Network 
http://www.ftpbd.net,B Net 
http://www.dnetbd.com,DNET 
http://10.1.1.1,Bot-Tola 
http://172.27.27.83,KS Network
http://www.mojaloss.net,Moja Loss 
http://www.genvideos.org,Gen Videos 
http://103.14.27.27,Voot BD 
http://172.27.27.5,Dhaka-Torrent
http://103.25.120.119,PC-Software-2
http://172.27.27.253,KS Gaming Realm
http://game.zxonlinebd.com,Game Portal
http://www.pegleg.it,Pegleg
http://www.bigfiveglories.com,Big Five Glories
http://banglamovieo.blogspot.com,Bangla Movies
http://www.banglafilmhd.net,Bangla Film HD
http://www.fullbanglamovie.com,Bangla Movies-2
http://www.dailyvision.tv,Bangla Natok
http://www.banglanatokhd.com,Bangla Natok HD
http://172.28.28.1,Live TV
http://www.jagobd.com,Web TV
http://www.bdixmedia.com,Internet TV
http://www.filehippo.com,Filehippo Software
http://www.bijoy.net,Bijoy.Net Software
http://172.28.28.1,Eirtel Software
http://172.27.27.253,KS Gaming Realm
http://game.zxonlinebd.com,Game Portal
http://172.28.28.1,Live TV
http://www.jagobd.com,Web TV
http://www.bdixmedia.com,Internet TV
http://www.join4films.com,Join4Films
http://103.25.120.119,TV Shows
http://178.216.250.167,Film
http://103.25.120.119,3D Movies
http://www.freetorrentbd.com,Free-Torrent-BD
http://172.27.27.249,Dhaka Download
http://172.28.28.1,Eirtel BD
http://www.torrentbd.com,Torrent-BD
http://www.naturalbd.com,Natural-BD
http://www.netvizmedia.net,All-News
http://torrent.dfnbd.net,Dfnbd
http://www.antbd.com,Antaranga Dot Com
http://www.bdixmedia.com,BDIX FTP
http://172.27.27.5,Dhaka Torrent
http://www.crazyhd.com,CrazyHD Torrent
http://172.27.27.4,Best Torrent
http://www.torrentbd.com,Torrent BD
http://www.paitara.com,Paitara Torrent
http://server.paitara.com,Paitara 2
http://bdixtorrenthome.blogspot.com,BDIX Torrent
http://tube.dfnbd.net,DFN Tube
http://172.27.27.84,Narm Tube
http://www.naturalbd.com,Natural BD Tube
http://172.27.27.233,UTURN TV Show
http://172.27.27.250,Matchnet TV Show
http://www.filehippo.com,Filehippo Software
http://172.28.28.1,Eirtel Software
http://www.doridro.com,Doridro
http://www.ontohinbd.com,Ontohinbd Torrent
http://www.tepantorbd.com,Tepantorbd Torrent
http://www.ontohinbd.com,Ontohinbd Torrent2
http://103.25.120.119,Games-2
http://www.ihub.live,I-Hub-TV
http://www.pipexbd.com,Pipex-TV
http://www.jagobd.com,Jagobd-TV
http://tv.ebox.live,Ebox-TV
http://www.tvsports.ml,TV-Sports
